,SVM,RF,BAG,ADA_BST,GDT_BST
101,Acceptable,Acceptable,Acceptable,Bad,Acceptable
102,Acceptable,Acceptable,Bad,Bad,Mediocre
103,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
104,Acceptable,Acceptable,Good,Acceptable,Acceptable
105,Acceptable,Poor,Poor,Bad,Poor
106,Acceptable,Poor,Poor,Mediocre,Poor
107,Acceptable,Good,Good,Acceptable,Good
108,Acceptable,Acceptable,Good,Good,Acceptable
109,Acceptable,Acceptable,Acceptable,Good,Acceptable
110,Acceptable,Bad,Bad,Bad,Bad
111,Acceptable,Bad,Bad,Bad,Bad
112,Acceptable,Good,Good,Acceptable,Good
113,Acceptable,Poor,Poor,Mediocre,Poor
114,Acceptable,Good,Good,Acceptable,Good
115,Acceptable,Mediocre,Mediocre,Poor,Mediocre
116,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
117,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
118,Acceptable,Acceptable,Acceptable,Good,Acceptable
119,Acceptable,Poor,Poor,Bad,Mediocre
120,Acceptable,Mediocre,Acceptable,Mediocre,Mediocre
121,Acceptable,Acceptable,Good,Mediocre,Acceptable
122,Acceptable,Acceptable,Acceptable,Good,Acceptable
123,Acceptable,Mediocre,Mediocre,Acceptable,Mediocre
124,Acceptable,Bad,Bad,Poor,Bad
125,Acceptable,Bad,Bad,Acceptable,Bad
126,Acceptable,Good,Good,Good,Good
127,Acceptable,Mediocre,Bad,Bad,Poor
128,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
129,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
130,Acceptable,Good,Good,Acceptable,Good
131,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre
132,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
133,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
134,Acceptable,Good,Good,Good,Good
135,Acceptable,Poor,Poor,Mediocre,Poor
136,Acceptable,Acceptable,Mediocre,Poor,Mediocre
137,Acceptable,Mediocre,Mediocre,Acceptable,Mediocre
138,Acceptable,Good,Good,Acceptable,Good
139,Acceptable,Acceptable,Acceptable,Bad,Acceptable
140,Acceptable,Bad,Bad,Bad,Bad
141,Acceptable,Acceptable,Mediocre,Acceptable,Mediocre
142,Acceptable,Acceptable,Acceptable,Good,Acceptable
143,Acceptable,Good,Good,Good,Good
144,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
145,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
146,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
147,Acceptable,Good,Good,Acceptable,Good
148,Acceptable,Mediocre,Mediocre,Mediocre,Poor
149,Acceptable,Acceptable,Acceptable,Good,Acceptable
150,Acceptable,Bad,Bad,Poor,Bad
151,Acceptable,Good,Good,Acceptable,Good
152,Acceptable,Mediocre,Mediocre,Bad,Mediocre
153,Acceptable,Poor,Bad,Bad,Poor
154,Acceptable,Acceptable,Acceptable,Good,Acceptable
155,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre
156,Acceptable,Bad,Bad,Poor,Bad
157,Acceptable,Poor,Mediocre,Mediocre,Poor
158,Acceptable,Good,Good,Good,Good
159,Acceptable,Bad,Bad,Bad,Bad
160,Acceptable,Acceptable,Acceptable,Good,Acceptable
161,Acceptable,Mediocre,Mediocre,Acceptable,Mediocre
162,Acceptable,Good,Good,Acceptable,Good
163,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre
164,Acceptable,Acceptable,Acceptable,Good,Acceptable
165,Acceptable,Good,Good,Good,Good
166,Acceptable,Good,Good,Good,Good
167,Acceptable,Acceptable,Acceptable,Good,Acceptable
168,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
169,Acceptable,Mediocre,Acceptable,Acceptable,Acceptable
170,Acceptable,Acceptable,Good,Good,Acceptable
171,Acceptable,Good,Good,Good,Good
172,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre
173,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable
174,Acceptable,Poor,Mediocre,Acceptable,Poor
175,Acceptable,Good,Good,Acceptable,Good
176,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
177,Acceptable,Good,Good,Acceptable,Good
178,Acceptable,Bad,Bad,Poor,Bad
179,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
180,Acceptable,Acceptable,Acceptable,Bad,Acceptable
181,Acceptable,Mediocre,Poor,Bad,Mediocre
182,Acceptable,Bad,Bad,Poor,Bad
183,Acceptable,Acceptable,Acceptable,Bad,Acceptable
184,Acceptable,Mediocre,Mediocre,Bad,Mediocre
185,Acceptable,Bad,Bad,Bad,Bad
186,Acceptable,Good,Good,Acceptable,Good
187,Acceptable,Mediocre,Poor,Acceptable,Mediocre
188,Acceptable,Good,Good,Good,Good
189,Acceptable,Bad,Poor,Acceptable,Poor
190,Acceptable,Bad,Bad,Poor,Bad
191,Acceptable,Acceptable,Mediocre,Bad,Mediocre
192,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable
193,Acceptable,Bad,Bad,Bad,Bad
194,Acceptable,Acceptable,Acceptable,Good,Good
195,Acceptable,Mediocre,Poor,Acceptable,Mediocre
196,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
197,Acceptable,Mediocre,Poor,Acceptable,Acceptable
198,Acceptable,Good,Good,Mediocre,Good
199,Acceptable,Good,Good,Acceptable,Good
200,Acceptable,Acceptable,Mediocre,Mediocre,Acceptable
201,Acceptable,Bad,Bad,Bad,Bad
202,Acceptable,Bad,Bad,Poor,Bad
203,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
204,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
205,Acceptable,Poor,Poor,Bad,Poor
206,Acceptable,Acceptable,Acceptable,Good,Acceptable
207,Acceptable,Good,Acceptable,Good,Good
208,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
209,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable
210,Acceptable,Good,Good,Acceptable,Good
211,Acceptable,Acceptable,Good,Good,Acceptable
212,Acceptable,Good,Good,Good,Good
213,Acceptable,Good,Good,Mediocre,Good
214,Acceptable,Mediocre,Poor,Mediocre,Mediocre
215,Acceptable,Bad,Bad,Bad,Bad
216,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable
217,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
218,Acceptable,Acceptable,Mediocre,Mediocre,Mediocre
219,Acceptable,Good,Good,Good,Good
220,Acceptable,Acceptable,Acceptable,Bad,Acceptable
221,Acceptable,Good,Good,Acceptable,Good
222,Acceptable,Mediocre,Mediocre,Bad,Mediocre
223,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable
224,Acceptable,Acceptable,Acceptable,Good,Acceptable
225,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
226,Acceptable,Acceptable,Good,Good,Acceptable
227,Acceptable,Good,Good,Acceptable,Good
228,Acceptable,Good,Good,Acceptable,Good
229,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
230,Acceptable,Good,Good,Mediocre,Acceptable
231,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
232,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
233,Acceptable,Acceptable,Acceptable,Good,Acceptable
234,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre
235,Acceptable,Bad,Bad,Poor,Bad
236,Acceptable,Good,Good,Good,Good
237,Acceptable,Acceptable,Acceptable,Bad,Acceptable
238,Acceptable,Acceptable,Acceptable,Good,Good
239,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
240,Acceptable,Bad,Bad,Bad,Bad
241,Acceptable,Poor,Poor,Mediocre,Mediocre
242,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
243,Acceptable,Acceptable,Acceptable,Bad,Acceptable
244,Acceptable,Good,Good,Good,Acceptable
245,Acceptable,Mediocre,Mediocre,Acceptable,Mediocre
246,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
247,Acceptable,Acceptable,Acceptable,Bad,Mediocre
248,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
249,Acceptable,Bad,Poor,Bad,Poor
250,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
251,Acceptable,Mediocre,Acceptable,Mediocre,Mediocre
252,Acceptable,Acceptable,Acceptable,Good,Acceptable
253,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre
254,Acceptable,Good,Good,Acceptable,Good
255,Acceptable,Acceptable,Acceptable,Good,Good
256,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
257,Acceptable,Poor,Poor,Acceptable,Poor
258,Acceptable,Acceptable,Acceptable,Good,Acceptable
259,Acceptable,Good,Good,Good,Good
260,Acceptable,Mediocre,Bad,Poor,Bad
261,Acceptable,Acceptable,Acceptable,Mediocre,Mediocre
262,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
263,Acceptable,Good,Good,Good,Good
264,Acceptable,Poor,Poor,Acceptable,Acceptable
265,Acceptable,Poor,Poor,Bad,Mediocre
266,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable
267,Acceptable,Good,Good,Good,Good
268,Acceptable,Poor,Poor,Acceptable,Mediocre
269,Acceptable,Mediocre,Mediocre,Acceptable,Mediocre
270,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
271,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
272,Acceptable,Bad,Poor,Bad,Acceptable
273,Acceptable,Mediocre,Bad,Bad,Bad
274,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable
275,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
276,Acceptable,Acceptable,Acceptable,Bad,Acceptable
277,Acceptable,Good,Good,Good,Good
278,Acceptable,Bad,Bad,Bad,Bad
279,Acceptable,Good,Good,Good,Good
280,Acceptable,Bad,Bad,Bad,Bad
281,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
282,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre
283,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable
284,Acceptable,Good,Good,Good,Good
285,Acceptable,Good,Good,Acceptable,Good
286,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
287,Acceptable,Mediocre,Mediocre,Bad,Mediocre
